Modelo,EoS,EoL
WS-C3850-12S-S,30/04/2022,30/04/2027
ISR4351/K9,07/11/2023,30/11/2028
CISCO2811,01/11/2011,31/10/2016
AIR-CT5508-K9,04/05/2018,31/01/2023
WS-C3650-48FD-S,31/10/2021,31/10/2026
WS-C3650-24PD-S,31/10/2021,31/10/2026
WS-C3650-48PD-L,31/10/2021,31/10/2026
WS-C2960S-24PD-L,06/11/2015,30/11/2020
WS-C3650-48PD-E,31/10/2021,31/10/2026
WS-C3650-48PQ-S,31/10/2021,31/10/2026
WS-C2960S-48FPD-L,06/11/2015,30/11/2020
WS-C2960X-24PS-L,31/10/2020,31/10/2027
WS-C2960S-48FPS-L,06/11/2015,30/11/2020
WS-C3650-24PD-L,31/10/2021,31/10/2026
WS-C3650-48FD-L,31/10/2021,31/10/2026
WS-C3850-48T-L,30/04/2022,30/04/2027
ISR4321/K9,07/11/2023,30/11/2028
WS-C3650-24PS-S,31/10/2021,31/10/2026
WS-C3650-48PS-L,31/10/2021,31/10/2026
WS-C3850-24S-S,30/04/2022,30/04/2027
WS-C3850-48P-S,30/04/2022,30/04/2027
