frame_time,frame_len,tcp_time_delta,tcp_retransmission,src_eth,dst_eth,type_eth,oui_eth_src,oui_eth_dst,lg_eth,ig_eth,src_ip,dst_ip,proto_ip,ttl_ip,flags_ip,len_ip,checksum_ip,srcport_tcp,dstport_tcp,flags_tcp,seq_tcp,ack_tcp,window_size_tcp,len_tcp,srcport_udp,dstport_udp,length_udp,checksum_udp,dns_qry_name,dns_qry_type,dns_a,dns_aaaa,dns_resp_name,dns_flags_response,http_request_method,http_host,http_request_uri,http_user_agent,http_response_code,tls_record_version,tls_handshake_type,tls_sni,arp_src_ip,arp_dst_ip,arp_src_mac,arp_dst_mac,arp_opcode,dhcp_message_type,dhcp_hostname,dhcp_requested_ip
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2938,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2939,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2940,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2941,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2942,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2943,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2944,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2938,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2945,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2946,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2939,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2947,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2940,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2941,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2948,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2949,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2942,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2950,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2943,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2944,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2951,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2952,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2945,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2953,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2946,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2954,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2947,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2955,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2948,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2956,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2949,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2957,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2950,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2958,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2951,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2952,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2959,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2953,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2960,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2954,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2961,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2962,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2955,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2963,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2956,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2957,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2964,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2958,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2965,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2959,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2966,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2960,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2967,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:fb:6a:d6,00:0c:29:f7:61:06,,,,,,192.168.198.131,192.168.198.130,,64,,,,80,2961,0x0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,00:0c:29:f7:61:06,00:0c:29:fb:6a:d6,,,,,,192.168.198.130,192.168.198.131,,64,,,,2968,80,0x0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
